id,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
1283,4,4,6,3,4,7,6,2,6,7,8,2,4,6,1,3,1,5,5,8,0.455
1284,4,3,7,5,1,5,2,5,4,8,4,8,4,7,6,8,9,5,2,11,0.58
1285,5,5,3,6,4,7,4,5,5,7,4,5,8,6,4,7,9,5,7,3,0.565
1286,7,4,4,5,4,5,3,6,4,4,4,4,4,5,2,6,5,5,4,8,0.46
1287,8,2,9,3,3,4,4,4,6,6,7,4,5,2,5,4,6,4,4,6,0.48
1288,6,2,7,5,6,7,3,4,6,3,6,2,4,1,2,1,12,3,7,4,0.435
1289,4,3,3,5,3,6,4,3,5,4,5,5,5,4,8,5,6,5,7,5,0.465
1290,6,9,1,6,4,1,1,4,6,2,4,3,5,6,5,5,4,7,7,4,0.495
1291,5,4,3,9,7,4,3,6,3,4,7,6,3,3,4,10,3,7,7,6,0.535
1292,6,5,5,3,6,3,9,3,5,4,5,8,6,4,7,4,3,6,4,1,0.51
1293,6,5,3,7,2,4,7,5,4,7,5,7,3,9,4,5,5,4,6,2,0.505
1294,3,6,6,4,5,5,3,9,2,7,8,6,4,9,4,4,3,8,3,5,0.535
1295,5,4,3,7,7,5,6,11,3,6,8,1,10,3,3,8,8,6,4,3,0.56
1296,6,5,7,5,4,5,6,8,5,4,5,3,8,8,6,3,5,3,4,5,0.545
1297,5,9,6,3,5,9,6,5,2,2,5,10,2,3,3,4,8,8,4,3,0.605
1298,6,1,4,1,5,4,7,2,5,7,1,4,3,3,5,3,3,5,1,3,0.415
1299,5,1,7,4,2,4,5,2,4,8,5,3,5,3,6,7,11,2,5,7,0.48
1300,5,4,6,7,0,5,4,2,7,4,3,5,5,12,7,5,3,1,8,4,0.485
1301,7,2,11,10,4,6,5,4,3,5,3,5,7,4,7,4,7,4,4,4,0.555
1302,2,5,4,4,5,3,0,3,9,8,4,4,9,5,6,4,6,4,5,4,0.45
1303,8,5,4,2,2,7,3,5,7,9,4,8,6,2,2,3,5,4,7,5,0.485
1304,6,10,5,5,6,9,5,4,4,10,4,2,3,3,5,0,3,4,2,5,0.47
1305,9,3,6,3,7,5,5,6,3,4,7,4,8,7,3,6,5,4,8,4,0.56
1306,8,2,7,8,4,7,4,2,6,2,4,7,1,8,5,7,7,1,3,8,0.505
1307,5,5,3,2,5,6,6,6,3,5,5,4,6,8,8,3,8,3,3,4,0.53
1308,7,3,9,2,3,5,5,7,3,7,8,4,6,5,5,4,7,5,5,5,0.69
1309,0,6,3,9,7,4,5,3,6,4,4,3,3,0,1,5,4,4,6,4,0.395
1310,5,5,2,4,2,6,5,8,4,8,4,7,2,9,7,4,4,3,5,4,0.49
1311,7,5,6,3,4,10,4,10,2,1,6,2,2,2,3,5,6,9,3,4,0.515
1312,3,5,4,7,3,4,6,3,5,4,8,6,8,5,8,6,4,5,2,0,0.48
1313,2,7,8,5,3,7,5,6,1,6,9,9,5,6,4,7,6,4,0,7,0.56
1314,5,8,3,3,2,4,5,7,7,6,7,4,8,3,7,2,4,5,3,8,0.54
1315,5,6,10,3,2,4,6,2,4,6,1,4,5,4,6,3,3,5,7,4,0.435
1316,3,8,7,7,3,4,5,10,8,5,5,6,3,5,6,7,6,2,5,7,0.565
1317,5,6,3,5,2,10,6,5,8,3,4,7,8,10,2,6,2,5,6,6,0.55
1318,5,6,8,8,6,6,2,4,6,6,4,3,7,5,3,8,8,4,4,6,0.565
1319,8,4,10,1,5,3,3,2,7,3,2,6,5,3,2,5,5,4,5,5,0.42
1320,5,6,6,7,5,9,4,4,4,2,3,4,3,4,6,1,5,9,7,3,0.465
1321,4,4,7,7,16,7,4,6,4,2,4,9,3,4,4,3,7,3,8,7,0.575
1322,2,7,2,8,5,5,5,5,2,5,2,7,4,10,8,5,3,0,10,5,0.495
1323,4,4,4,3,4,6,3,8,4,5,5,8,6,3,10,6,4,6,4,6,0.525
1324,4,10,4,6,4,3,2,9,9,7,4,6,3,4,6,6,1,5,7,8,0.57
1325,4,5,8,3,2,4,5,7,9,4,2,5,3,2,5,2,8,3,4,5,0.43
1326,9,6,2,4,3,8,7,7,3,9,4,1,5,4,4,3,8,3,4,3,0.5
1327,7,6,3,3,1,1,9,8,4,3,6,3,5,3,6,1,6,10,6,5,0.5
1328,5,5,7,8,2,3,4,3,1,6,5,8,3,6,4,3,5,3,3,7,0.45
1329,5,5,5,7,4,3,4,9,7,6,5,7,5,5,9,3,0,3,4,4,0.53
1330,6,4,4,7,4,6,4,3,7,5,4,4,5,3,4,8,3,4,5,2,0.455
1331,2,10,2,6,3,2,5,3,9,8,7,5,3,2,10,4,5,6,8,5,0.535
1332,3,6,3,2,8,4,4,6,4,8,6,4,2,4,5,4,5,3,6,3,0.46
1333,8,6,6,6,6,6,2,5,7,6,3,5,3,8,3,4,4,5,2,4,0.495
1334,4,6,8,5,7,3,5,4,4,8,8,5,7,3,3,5,3,1,1,2,0.505
1335,4,3,6,5,8,2,3,10,6,7,2,4,6,0,11,5,1,4,5,5,0.49
1336,6,4,7,7,7,3,3,2,5,5,10,7,6,1,3,7,2,5,5,5,0.505
1337,6,5,5,5,4,4,4,5,7,9,3,4,6,5,4,8,8,7,6,3,0.565
1338,4,4,8,7,8,6,6,5,5,4,5,6,3,4,4,4,5,4,6,8,0.545
1339,8,10,6,2,4,8,7,7,5,6,3,2,5,4,7,5,3,4,3,1,0.555
1340,6,7,4,3,8,10,4,3,3,2,5,5,6,2,5,4,5,4,4,4,0.52
1341,6,5,8,2,10,2,8,3,3,7,4,5,4,4,3,5,7,5,6,4,0.54
1342,7,2,5,4,4,2,2,9,4,3,5,2,7,1,8,7,2,6,4,6,0.435
1343,6,5,7,4,5,3,4,5,2,7,4,6,3,1,2,8,2,10,4,2,0.43
1344,5,8,3,8,4,5,4,3,3,5,3,5,5,2,5,4,5,6,4,4,0.485
1345,3,4,4,6,5,1,7,4,4,5,2,5,10,5,8,3,4,7,8,5,0.53
1346,4,4,3,3,8,4,5,4,4,5,3,5,5,1,7,3,9,6,9,7,0.505
1347,7,7,2,6,3,4,6,5,4,3,5,3,8,3,5,4,6,4,5,5,0.47
1348,6,4,7,5,8,4,6,5,4,3,6,3,4,8,10,8,7,3,8,7,0.59
1349,2,2,8,6,6,6,5,4,3,7,7,5,6,4,6,9,7,3,7,4,0.545
1350,4,5,5,7,2,3,6,6,8,6,8,3,7,6,6,4,2,4,4,2,0.485
1351,4,5,5,9,4,3,9,6,3,7,7,2,6,3,5,8,8,2,9,5,0.565
1352,3,3,3,6,6,3,7,3,9,1,5,3,4,2,2,1,1,4,4,6,0.37
1353,5,4,4,5,3,2,6,7,5,2,4,4,6,4,5,3,6,7,9,2,0.455
1354,5,1,5,1,2,6,7,5,3,4,6,2,5,3,3,4,6,4,10,6,0.42
1355,8,6,6,7,6,4,7,6,5,5,5,6,9,5,4,7,6,8,2,2,0.58
1356,3,10,7,8,6,5,5,4,3,4,7,7,7,3,5,7,7,4,5,5,0.57
1357,4,7,3,7,6,3,3,3,5,8,4,6,8,3,5,5,2,5,5,7,0.495
1358,5,6,8,6,6,4,6,2,3,5,7,7,4,5,3,3,9,7,8,12,0.605
1359,8,3,2,4,3,5,3,7,3,7,5,7,6,5,7,3,0,8,3,4,0.455
1360,6,9,6,4,3,5,5,5,3,6,4,7,3,8,2,2,4,5,5,5,0.465
1361,5,5,3,3,4,3,9,7,0,4,5,3,3,6,5,1,6,5,3,4,0.405
1362,3,4,3,5,6,4,3,9,4,4,3,3,4,6,4,6,9,5,2,4,0.455
1363,2,5,3,10,4,3,4,2,8,4,4,2,5,7,5,4,7,6,2,5,0.435
1364,5,5,4,3,3,5,9,5,8,6,4,4,3,5,3,4,4,5,6,3,0.45
1365,6,5,10,9,6,8,7,5,8,2,8,4,3,3,5,4,4,4,5,4,0.58
1366,7,7,4,8,4,6,3,4,8,3,2,6,3,4,5,3,4,6,3,4,0.49
1367,7,6,6,2,5,7,3,4,4,5,6,7,5,8,5,8,4,4,6,3,0.545
1368,9,6,8,3,5,7,6,5,5,4,7,3,6,5,6,2,3,6,5,5,0.555
1369,10,5,3,2,3,4,5,3,4,5,6,4,11,3,4,5,10,14,4,6,0.575
1370,5,9,8,12,4,6,4,7,5,5,5,3,5,1,4,5,5,9,7,3,0.565
1371,4,4,2,5,7,5,4,4,7,7,2,3,4,5,9,7,3,7,9,6,0.535
1372,6,4,5,6,5,4,7,5,3,5,8,4,8,5,6,5,4,3,4,5,0.55
1373,9,4,3,5,5,7,8,3,4,4,1,1,2,6,1,5,6,6,6,6,0.435
1374,5,3,4,5,2,3,7,5,5,3,3,6,6,8,1,4,5,6,5,4,0.46
1375,7,4,5,6,9,6,6,6,5,5,9,5,6,2,6,3,3,5,5,1,0.525
1376,2,3,2,5,6,9,4,1,4,8,5,6,5,2,4,6,6,6,9,0,0.52
1377,10,4,2,3,4,4,7,5,5,7,3,1,8,4,9,4,3,5,7,4,0.495
1378,7,5,6,5,7,4,4,5,4,4,8,1,7,5,8,5,5,4,4,3,0.505
1379,3,4,7,6,4,3,6,8,4,8,4,4,4,7,6,7,5,6,4,5,0.535
1380,8,4,2,4,4,3,4,8,5,6,4,2,4,7,4,5,5,4,2,6,0.455
1381,6,5,9,2,6,2,3,3,6,2,3,4,4,5,4,6,8,3,5,7,0.51
1382,6,7,4,5,4,11,3,4,4,9,6,10,4,5,2,2,3,1,2,1,0.46
1383,4,3,5,4,3,5,4,5,3,5,8,7,5,9,4,4,2,5,6,2,0.455
1384,2,3,5,4,6,5,7,2,1,3,4,6,9,5,2,3,2,4,4,7,0.41
1385,7,1,4,0,9,2,3,4,7,5,7,6,8,6,3,5,6,5,4,5,0.485
1386,3,6,3,8,3,5,4,3,4,3,7,2,2,10,5,4,4,5,4,9,0.45
1387,4,4,5,5,5,5,8,3,4,5,6,6,1,5,6,5,4,6,5,4,0.5
1388,4,6,5,8,6,4,6,3,2,5,4,4,5,3,4,5,5,4,8,9,0.505
1389,2,5,4,4,7,7,3,6,5,5,3,5,3,1,8,5,2,5,1,4,0.4
1390,3,4,3,6,5,8,2,6,7,6,3,3,4,8,3,5,3,5,3,3,0.435
1391,3,12,2,4,6,7,4,6,4,9,3,3,4,3,3,7,2,6,0,6,0.445
1392,5,5,2,5,6,3,4,10,4,2,8,5,3,3,5,5,3,4,6,8,0.48
1393,2,6,4,7,6,2,5,7,2,3,5,5,9,6,6,5,4,9,4,10,0.56
1394,3,2,6,6,2,5,7,2,4,5,3,10,7,2,2,7,4,4,4,4,0.45
1395,8,8,3,5,6,6,5,2,5,4,2,6,4,4,4,6,2,3,4,3,0.425
1396,4,5,5,3,4,7,3,4,4,6,9,7,9,6,5,3,4,6,7,7,0.565
1397,3,1,3,5,2,3,4,2,6,10,2,9,4,7,4,2,2,3,4,8,0.405
1398,6,4,5,4,5,4,6,3,3,4,8,3,6,1,4,4,2,10,2,6,0.495
1399,3,8,7,5,6,7,5,8,3,2,5,3,6,5,5,6,5,6,5,5,0.535
1400,6,2,3,6,4,6,5,7,4,4,2,9,1,5,3,3,5,7,4,4,0.46
1401,2,3,3,9,5,5,5,4,5,5,5,6,5,4,3,3,5,4,8,6,0.465
1402,6,8,2,11,6,5,6,4,6,3,4,5,6,6,5,3,8,6,4,3,0.5
1403,4,8,5,4,7,6,3,5,8,7,2,1,6,5,6,2,1,8,5,3,0.465
1404,7,4,7,5,5,8,2,0,4,3,4,4,4,3,3,4,5,6,5,6,0.45
1405,6,2,4,4,4,4,5,5,3,5,8,4,3,5,3,4,6,4,9,9,0.475
1406,5,6,3,7,5,6,2,8,4,4,6,4,4,5,4,7,5,4,3,4,0.48
1407,4,5,7,4,5,6,11,8,5,7,3,7,4,6,7,2,4,5,6,1,0.545
1408,5,5,3,5,4,6,4,3,4,6,4,3,9,4,6,6,3,7,4,5,0.465
1409,5,6,7,5,3,4,5,3,6,5,4,7,3,6,5,8,8,2,6,3,0.505
1410,6,4,3,4,4,6,4,2,6,2,3,3,7,5,2,5,4,5,10,2,0.44
1411,7,3,3,3,2,5,8,2,3,4,3,5,2,3,3,4,4,4,4,4,0.37
1412,7,3,5,4,4,4,7,4,5,3,6,7,5,5,6,11,5,4,3,7,0.53
1413,2,4,5,6,4,6,7,6,5,1,5,10,5,6,4,6,7,3,6,5,0.535
1414,7,5,1,7,4,3,6,2,3,5,5,7,2,4,7,7,3,4,4,4,0.405
1415,1,6,5,7,4,2,10,7,5,5,8,5,5,6,5,1,10,1,3,3,0.495
1416,3,4,4,7,3,1,4,4,7,4,3,4,11,6,5,4,7,7,3,7,0.485
1417,5,7,8,2,7,6,3,8,6,5,6,7,5,4,2,5,3,4,1,6,0.53
1418,10,3,4,4,6,2,4,4,6,4,6,7,7,7,4,5,4,6,3,8,0.535
1419,2,8,4,2,4,3,4,8,5,6,4,5,4,3,4,6,6,6,9,7,0.54
1420,4,4,1,2,7,4,4,2,5,4,4,4,3,5,7,3,4,6,2,4,0.39
1421,7,3,7,2,4,5,3,5,6,5,4,8,5,6,4,2,7,8,1,5,0.475
1422,6,7,5,5,4,3,5,5,3,5,8,7,4,5,4,4,3,4,5,2,0.445
1423,7,5,3,4,4,3,2,7,5,6,5,3,3,4,4,7,8,5,7,6,0.475
1424,3,9,4,3,5,7,2,6,7,5,2,3,3,6,7,3,5,4,3,7,0.49
1425,5,6,6,2,4,9,5,6,4,5,4,4,5,2,1,8,5,1,6,6,0.445
1426,6,6,4,2,3,4,3,5,4,9,7,9,2,3,4,6,2,4,4,6,0.46
1427,2,7,5,7,5,3,7,7,2,6,2,4,4,8,6,3,4,4,5,3,0.45
1428,7,3,5,6,5,5,9,5,5,5,6,3,4,6,4,6,2,2,3,5,0.49
1429,3,10,4,3,2,6,5,5,5,7,8,6,5,9,5,7,5,4,4,4,0.54
1430,8,5,9,4,1,5,4,5,5,5,7,6,4,4,7,9,8,1,5,3,0.555
1431,7,2,4,6,6,9,5,4,3,5,5,9,3,4,6,5,5,5,7,4,0.535
1432,6,3,6,3,7,5,7,6,5,5,2,3,4,3,4,5,4,3,8,4,0.455
1433,6,6,2,5,1,5,7,7,7,3,4,5,8,2,5,6,6,3,3,4,0.47
1434,5,5,8,7,4,10,7,5,7,3,4,8,5,6,9,3,6,2,7,6,0.6
1435,4,6,4,4,4,0,4,6,3,6,6,4,3,4,2,6,9,5,7,5,0.435
1436,4,3,4,4,4,5,4,8,5,5,7,5,3,6,8,7,4,3,6,2,0.5
1437,2,8,5,6,3,4,6,8,3,4,6,4,6,3,4,4,5,6,3,6,0.48
1438,6,5,6,6,4,5,3,3,5,7,2,2,1,3,5,7,2,5,5,6,0.43
1439,6,5,3,6,7,4,8,3,3,4,5,5,7,6,9,3,4,1,6,4,0.515
1440,3,3,5,8,3,6,6,5,8,2,8,3,6,2,6,5,4,6,4,1,0.49
1441,6,5,6,4,9,7,5,3,6,4,3,3,5,3,5,4,6,6,4,3,0.5
1442,7,1,9,5,7,6,5,6,4,5,6,4,5,6,7,5,6,3,4,6,0.56
1443,7,4,2,3,6,1,4,5,4,4,11,7,5,9,6,3,2,5,4,5,0.5
1444,6,7,3,7,7,4,7,8,4,6,2,3,5,1,7,5,9,3,4,4,0.51
1445,4,6,3,5,6,4,6,4,5,13,11,5,6,5,3,3,5,3,6,6,0.58
1446,5,3,6,5,4,5,3,6,7,9,6,9,4,5,1,7,4,3,2,3,0.475
1447,9,5,4,2,6,7,7,2,5,4,4,4,6,7,5,6,9,5,0,4,0.525
1448,5,7,3,6,4,9,4,8,2,7,5,1,6,7,2,1,3,7,9,4,0.555
1449,8,4,8,6,3,4,4,5,5,4,4,4,3,4,4,6,8,4,7,4,0.515
1450,5,4,3,7,6,2,7,5,5,1,5,9,6,6,7,5,4,3,5,7,0.525
1451,6,6,5,6,5,7,5,3,5,6,4,8,5,4,9,3,4,2,6,2,0.525
1452,7,9,5,8,1,3,2,5,3,5,5,7,5,2,8,5,10,7,4,4,0.53
1453,6,5,3,6,3,8,3,4,4,4,5,5,4,5,7,2,8,5,7,3,0.51
1454,3,3,1,8,2,2,6,6,5,4,5,3,8,6,5,5,5,4,8,4,0.48
1455,7,5,8,3,4,6,8,5,9,8,3,6,6,11,3,2,6,7,5,4,0.6
1456,5,4,5,6,4,8,5,4,4,6,3,4,2,4,2,4,8,3,3,3,0.43
1457,4,2,3,6,8,4,2,7,4,5,0,7,4,3,5,6,7,3,2,7,0.44
1458,7,10,3,3,4,5,6,2,8,3,4,5,3,6,6,3,6,3,4,5,0.48
1459,4,9,4,5,2,3,2,5,7,4,1,4,3,3,6,7,6,3,3,5,0.41
1460,5,2,4,6,6,5,5,4,5,8,3,3,4,4,6,1,6,5,6,6,0.445
1461,6,5,5,6,6,10,3,7,4,5,5,7,3,5,6,3,7,8,3,3,0.54
1462,9,9,8,4,1,3,6,5,5,5,4,2,8,4,6,8,3,2,2,5,0.495
1463,5,7,3,7,8,7,4,5,3,8,10,5,4,5,5,7,2,6,7,5,0.615
1464,5,7,6,8,7,5,8,5,5,3,9,5,2,3,5,3,7,4,4,6,0.545
1465,5,4,9,3,8,5,1,3,6,3,4,4,8,5,3,3,5,5,5,4,0.46
1466,5,3,5,4,7,6,3,6,6,0,8,3,4,6,2,4,4,6,7,5,0.49
1467,4,6,3,5,3,4,7,4,7,3,5,5,5,7,2,4,8,2,7,6,0.475
1468,3,5,5,4,4,2,7,4,7,7,4,5,2,6,4,5,6,3,2,8,0.46
1469,6,3,2,4,5,3,9,4,5,6,2,5,5,8,2,5,4,6,4,4,0.455
1470,9,3,5,2,6,7,3,8,7,5,7,5,4,4,3,3,6,1,4,7,0.54
1471,6,3,3,3,5,3,5,4,5,4,9,6,4,8,3,5,8,6,2,3,0.465
1472,8,9,8,5,5,3,3,5,7,3,4,8,4,6,2,4,4,6,6,5,0.535
1473,4,5,2,5,2,2,4,4,9,5,0,9,5,8,8,4,4,6,4,4,0.51
1474,7,9,5,4,5,6,3,7,7,6,6,3,5,7,9,4,5,6,4,8,0.61
1475,8,5,2,6,3,8,5,3,8,6,5,6,6,6,5,4,3,8,2,8,0.545
1476,5,4,6,3,6,3,6,4,5,4,6,3,4,5,5,3,3,4,6,10,0.47
1477,4,5,4,5,5,4,2,9,4,4,4,6,3,5,4,5,5,5,3,5,0.47
1478,3,7,9,5,5,8,6,9,4,5,5,6,6,5,4,3,9,1,12,5,0.62
1479,5,12,10,7,3,3,5,2,2,7,6,6,4,3,3,8,5,5,7,2,0.56
1480,6,9,3,4,4,2,5,3,3,8,4,3,3,1,6,6,2,5,4,11,0.485
1481,6,3,2,6,4,6,5,2,7,4,5,1,7,10,3,9,4,5,2,6,0.465
1482,4,4,8,2,9,3,7,3,5,3,5,1,5,4,5,7,4,6,5,8,0.53
1483,6,5,2,7,3,7,5,10,3,8,4,5,7,3,4,5,4,6,1,3,0.5
1484,6,3,5,3,4,5,1,3,5,3,6,7,5,4,2,8,5,7,3,8,0.51
1485,6,6,4,5,5,5,4,5,5,2,4,8,5,1,3,4,3,5,5,3,0.42
1486,5,3,6,4,4,4,5,2,6,5,1,5,8,7,5,8,5,3,5,3,0.515
1487,7,7,6,4,6,5,6,3,10,6,3,4,6,3,7,4,2,4,9,3,0.53
1488,5,4,6,5,8,4,4,7,6,6,3,3,3,7,6,8,6,7,8,5,0.575
1489,5,6,4,4,6,5,6,4,4,6,3,5,3,6,4,3,8,5,5,5,0.465
1490,7,3,4,2,6,7,7,5,1,3,9,4,0,4,5,4,8,3,3,7,0.435
1491,4,1,8,5,6,5,3,3,2,7,2,4,5,5,7,6,3,4,2,7,0.45
1492,7,5,4,5,7,3,6,2,3,10,6,5,4,4,4,7,4,6,4,8,0.55
1493,5,2,3,8,6,3,5,5,6,4,6,5,3,4,6,6,5,6,2,5,0.5
1494,6,6,7,5,5,2,4,5,7,5,2,6,3,4,1,5,4,6,9,2,0.515
1495,5,7,6,8,5,4,5,6,3,5,7,7,7,2,4,2,11,6,3,6,0.55
1496,6,3,5,3,5,4,3,3,4,3,6,8,2,5,4,5,3,6,4,8,0.425
1497,7,3,1,6,4,5,3,5,2,5,4,8,7,7,2,5,5,9,6,3,0.475
1498,4,7,6,3,8,1,4,4,9,3,3,6,8,8,2,1,3,7,10,3,0.555
1499,3,7,2,3,8,8,12,2,0,4,3,3,3,7,7,7,4,3,4,3,0.48
1500,5,6,1,1,3,3,5,8,5,7,11,5,8,5,6,9,6,8,2,4,0.545
1501,7,8,2,6,4,7,1,4,2,7,4,6,6,5,6,4,5,3,8,4,0.54
1502,6,3,2,6,3,5,1,7,1,4,2,5,8,4,7,1,6,2,3,3,0.415
1503,4,5,5,4,5,7,6,5,3,5,3,10,1,2,3,8,7,7,10,4,0.535
1504,5,4,11,3,5,3,1,9,3,3,3,5,8,3,3,1,5,4,5,8,0.505
1505,7,5,2,2,2,3,5,7,7,6,7,5,5,3,2,8,8,6,1,6,0.465
1506,7,7,2,7,5,7,4,3,3,4,8,7,5,4,5,6,7,5,5,5,0.545
1507,3,5,5,5,5,2,5,5,5,7,2,7,8,3,4,2,4,6,7,7,0.5
1508,8,3,2,2,2,4,7,5,6,5,7,8,5,3,3,9,5,3,7,2,0.465
1509,7,4,8,6,8,6,3,3,3,2,5,8,5,7,4,6,6,8,5,4,0.57
1510,8,4,5,3,7,5,3,5,6,4,3,5,9,3,3,7,4,6,5,7,0.51
1511,6,1,8,5,6,7,6,4,5,4,7,4,3,6,6,8,5,6,3,6,0.555
1512,5,5,8,5,4,3,3,4,3,6,6,9,6,7,5,7,5,7,4,8,0.585
1513,2,1,6,6,6,6,10,4,4,4,3,5,4,4,5,3,6,5,5,5,0.46
1514,4,2,9,3,8,4,3,7,6,3,6,3,6,5,5,4,5,6,9,2,0.505
1515,7,5,3,4,2,6,5,4,3,4,4,5,5,3,4,10,4,6,6,2,0.44
1516,5,7,1,7,6,5,4,2,5,7,5,1,6,3,4,6,7,10,5,4,0.515
1517,6,4,7,7,7,7,3,8,7,2,5,7,1,2,6,4,6,3,2,2,0.49
1518,6,6,5,7,6,4,5,6,4,7,2,5,4,8,5,4,2,3,5,11,0.555
1519,6,8,4,3,8,3,5,3,3,5,5,3,4,4,7,6,7,7,6,5,0.51
1520,6,5,5,3,7,6,7,5,3,5,12,7,8,7,6,3,9,6,3,3,0.6
1521,8,4,7,8,5,1,8,3,8,8,4,5,3,8,6,6,6,5,5,8,0.59
1522,5,6,3,5,5,11,6,7,5,5,7,6,4,4,6,5,4,10,6,4,0.58
1523,8,10,3,10,2,7,5,6,4,3,4,2,4,6,3,5,4,5,1,3,0.46
1524,4,4,6,7,6,4,6,3,4,9,4,3,4,6,6,2,7,4,6,8,0.55
1525,4,1,8,2,8,11,3,4,6,7,5,3,7,4,2,2,7,3,3,7,0.475
1526,6,2,2,6,7,8,5,3,5,1,5,3,7,5,4,0,5,7,3,5,0.45
1527,2,7,5,4,4,9,3,6,4,4,4,2,8,5,5,7,3,5,3,7,0.485
1528,4,2,7,4,4,4,5,2,1,2,4,1,3,7,4,5,3,4,3,10,0.415
1529,3,2,5,6,6,5,7,3,3,3,4,4,8,2,2,4,3,3,3,6,0.41
1530,3,7,9,2,5,7,3,8,6,8,12,8,4,4,3,6,3,2,4,5,0.55
1531,8,5,4,5,3,6,7,3,5,3,4,4,6,5,9,6,6,3,4,5,0.505
1532,4,5,3,4,4,9,5,4,1,4,5,2,6,3,4,5,9,3,8,3,0.455
1533,6,5,6,5,3,6,5,4,6,10,4,5,3,4,4,5,5,5,4,3,0.475
1534,3,4,9,5,4,6,7,3,7,5,2,7,8,4,2,8,7,5,4,5,0.535
1535,4,7,5,2,10,3,5,4,3,7,4,6,5,4,4,6,4,5,5,4,0.5
1536,3,5,3,7,6,4,7,7,8,11,4,5,6,10,9,4,9,5,6,5,0.67
1537,5,6,5,8,3,2,9,6,6,6,4,3,2,3,6,4,7,3,5,3,0.465
1538,5,4,12,6,2,6,3,4,3,8,6,4,2,3,3,6,3,6,3,4,0.51
1539,6,2,4,5,4,8,6,3,7,3,5,4,4,8,3,7,3,5,4,3,0.515
1540,7,5,3,3,9,6,7,3,6,4,7,8,4,5,6,5,6,8,2,6,0.565
1541,3,3,4,3,6,6,2,3,4,4,7,5,7,2,8,5,3,6,6,5,0.47
1542,3,6,3,7,1,4,3,6,4,6,7,3,4,5,6,5,3,5,5,9,0.47
1543,3,4,9,6,3,4,4,4,5,2,5,3,5,6,4,8,6,7,4,6,0.49
1544,3,2,9,4,5,6,4,2,8,7,8,8,4,5,0,3,6,7,5,0,0.5
1545,8,7,3,4,6,8,2,6,6,7,6,2,5,5,4,6,5,6,7,3,0.555
1546,9,5,5,4,6,4,5,3,6,9,8,6,6,4,4,5,2,3,6,2,0.525
1547,5,4,4,9,9,7,6,8,5,6,1,6,4,6,7,5,3,9,6,7,0.62
1548,2,8,7,2,8,6,3,7,3,7,4,5,7,8,7,6,7,5,6,4,0.59
1549,2,5,4,5,2,6,8,6,5,3,8,4,5,4,5,5,5,5,2,2,0.455
1550,1,2,3,6,4,4,5,3,6,7,7,2,6,7,2,3,4,6,5,5,0.42
1551,5,6,8,5,4,7,6,8,3,5,6,5,4,4,3,5,3,6,5,3,0.505
1552,4,5,3,2,3,4,6,9,12,6,4,4,1,6,5,2,5,4,1,5,0.45
1553,6,3,6,10,7,7,3,4,4,3,3,6,6,6,7,6,5,9,5,6,0.565
1554,5,10,11,10,2,5,3,2,5,6,2,4,5,7,3,9,4,1,1,2,0.485
1555,5,9,4,6,4,8,5,6,7,6,5,7,7,3,7,7,6,4,4,3,0.615
1556,0,2,13,7,3,2,5,6,4,3,4,4,6,9,6,5,6,6,10,2,0.525
1557,4,7,3,3,3,5,5,5,1,5,9,7,4,6,3,6,5,3,1,5,0.425
1558,4,5,4,3,3,6,5,7,4,6,7,2,9,3,4,3,4,6,4,5,0.45
1559,2,7,9,5,8,4,6,3,8,3,6,4,7,8,5,9,4,8,7,8,0.605
1560,9,4,7,8,10,5,5,5,4,4,11,10,2,4,4,11,3,2,6,7,0.635
1561,6,10,3,5,7,5,6,2,5,6,5,3,4,4,6,11,6,3,0,5,0.51
1562,7,1,7,8,2,5,5,3,7,7,5,5,4,3,8,6,6,8,4,4,0.535
1563,3,4,6,2,5,4,4,5,6,3,4,5,5,3,4,5,7,5,3,8,0.47
1564,8,1,6,4,6,5,5,4,8,6,5,7,6,6,5,4,5,6,7,9,0.615
1565,3,6,4,5,5,7,2,5,8,3,8,6,8,9,9,6,4,7,1,3,0.55
1566,3,3,3,7,6,3,6,2,3,3,2,7,3,8,7,5,6,2,3,2,0.42
1567,6,6,8,8,4,7,14,4,8,8,7,7,2,9,5,7,3,5,3,4,0.655
1568,10,7,3,6,4,2,5,6,3,6,2,5,5,5,4,5,8,3,7,7,0.52
1569,4,3,8,4,3,6,9,4,4,2,4,2,5,9,5,7,6,3,6,4,0.5
1570,4,6,4,5,3,3,4,4,4,6,5,3,8,6,3,3,3,8,5,3,0.46
1571,10,7,9,5,2,6,3,6,4,1,9,5,6,8,8,4,3,5,6,5,0.595
1572,5,3,7,8,5,4,5,3,4,5,4,10,5,6,3,3,6,5,4,11,0.595
1573,9,4,8,3,5,4,4,3,6,3,7,6,2,4,3,2,6,4,5,7,0.52
1574,4,6,7,6,3,6,5,5,3,8,4,5,8,5,5,5,11,7,5,4,0.565
1575,5,8,2,6,5,8,6,5,5,7,5,5,3,7,5,5,3,5,6,6,0.54
1576,3,6,6,1,6,6,4,3,4,5,8,5,3,1,4,7,3,6,3,7,0.455
